DATE,MRTSSM442USN,MRTSSM443USN,MRTSSM444USN,MRTSSM445USN,MRTSSM446USN,MRTSSM448USN,MRTSSM451USN,MRTSSM452USN,MRTSSM453USN,MRTSSM454USN,MRTSSM722USN,MRTSSM441USN
1992-01-01,3846,3657,8964,29589,7258,6938,3023,14996,3642,6860,15693,29811
1992-02-01,3908,3490,9023,28570,7150,7524,2806,16015,3902,6059,15835,31217
1992-03-01,4157,3669,10608,29682,7413,8475,3040,17984,3755,6297,16848,35136
1992-04-01,4141,3527,11630,30228,7531,9401,3150,18872,4148,6022,16494,36082
1992-05-01,4275,3571,12327,31677,7488,9558,3175,20037,4600,5803,17648,36460
1992-06-01,4357,3788,12219,30769,7387,9182,3240,18812,4518,5761,16814,38389
1992-07-01,4407,3930,11658,32402,7277,9103,3224,18575,4488,5834,17304,37814
1992-08-01,4446,3817,11219,31469,7313,10513,3586,20518,4504,5830,17888,35436
1992-09-01,4328,3795,11309,30162,7071,9573,3409,18700,4454,6334,16459,35883
1992-10-01,4497,4014,11605,31407,7467,10254,3329,20970,4768,7275,17668,36738
1992-11-01,4687,4419,10156,30388,7115,11187,3851,25024,4848,7725,16723,32360
1992-12-01,5287,7014,10271,34170,9235,18395,7133,37373,7213,8701,17491,33067
1993-01-01,4104,4105,8947,30039,7172,7502,3254,16097,4350,6723,16201,32200
1993-02-01,3908,3735,9208,28126,7138,7524,2735,16319,4302,6620,15625,32787
1993-03-01,4369,4159,11073,30455,7719,8766,3211,19066,4305,7481,17414,39258
1993-04-01,4372,3974,12374,30820,7721,9867,3374,20271,4804,6606,17841,41055
1993-05-01,4535,4023,13296,31891,7681,10063,3315,21562,5177,6497,18712,41390
1993-06-01,4568,4334,13209,31352,7642,9635,3424,20562,5340,5904,18571,42995
1993-07-01,4682,4447,12523,33029,7671,9794,3440,20679,5087,5813,19092,42978
1993-08-01,4733,4406,12470,31215,7540,10628,3880,21834,5255,6201,19329,41706
1993-09-01,4621,4393,12149,30622,7399,10013,3611,20631,5110,7099,18108,40274
1993-10-01,4775,4460,12220,31223,7549,10346,3496,22628,5261,7786,18745,40287
1993-11-01,5158,5153,11872,30803,7527,11760,4260,26702,5092,9151,17463,38982
1993-12-01,5631,7943,11623,34941,9835,18851,7573,39645,7462,9930,18366,39004
1994-01-01,4018,4508,9725,30251,7511,7280,3499,17084,4342,7845,16073,36499
1994-02-01,4140,4251,9861,28514,7211,7902,3116,17665,4691,7481,16509,39207
1994-03-01,4827,4804,12658,31920,8069,9921,3718,21680,5145,8379,18757,48794
1994-04-01,4700,4520,13937,31208,7760,9869,3640,21420,5105,7399,18774,47592
1994-05-01,4867,4656,15025,32215,8035,10009,3641,22421,6071,7171,19400,47065
1994-06-01,4958,5047,14724,32537,7982,9893,3796,22639,5901,7010,19437,49302
1994-07-01,4980,5000,13602,33288,7850,9735,3688,21852,5828,6507,20157,45730
1994-08-01,5356,5205,14320,32613,8126,11157,4423,23503,6339,7480,19943,48327
1994-09-01,5203,5128,13803,31860,7821,10217,4104,22083,6066,7770,18826,46351
1994-10-01,5328,5319,13894,31846,7968,10730,3904,24098,5769,8752,19314,46178
1994-11-01,5734,6271,12991,31915,7928,12354,4630,28624,5948,9729,18248,43612
1994-12-01,6305,9661,12688,36173,10102,20016,7986,42121,8252,10757,19562,42484
1995-01-01,4649,5480,11086,31039,7999,7518,3908,18537,5016,8346,17340,40555
1995-02-01,4410,5005,10967,29132,7739,7961,3271,18598,5411,7991,16982,41459
1995-03-01,5084,5574,13447,32361,8462,9815,3908,22516,5687,8768,19369,51531
1995-04-01,4818,5016,13907,31792,8230,10168,3845,23023,5773,7564,19404,47869
1995-05-01,5195,5438,15700,33178,8668,10620,3951,24133,6790,7876,20209,52775
1995-06-01,5196,5688,15414,33060,8482,10301,4129,24241,6558,7411,20235,54922
1995-07-01,5190,5565,14174,33520,8170,9784,3893,23517,6230,6841,20502,49968
1995-08-01,5506,5993,14783,33279,8471,11264,4649,24916,6891,7922,20878,53479
1995-09-01,5418,5742,13950,32177,8163,10710,4294,23499,6307,8240,19601,48827
