DATE,MRTSSM44112USN,RSCCASN,RSFSDPN,MRTSSM4453USN,RSFHFSN,MRTSSM7225USN,RSGASSN
1/1/1992,1744,6938,15693,1509,3846,13325,12099
2/1/1992,1990,7524,15835,1541,3908,13474,11580
3/1/1992,2177,8475,16848,1597,4157,14346,12272
4/1/1992,2601,9401,16494,1675,4141,14065,12443
5/1/1992,2171,9558,17648,1822,4275,15077,13449
6/1/1992,2207,9182,16814,1775,4357,14384,13427
7/1/1992,2251,9103,17304,1912,4407,14875,13874
8/1/1992,2087,10513,17888,1862,4446,15381,13825
9/1/1992,2016,9573,16459,1770,4328,14086,13140
10/1/1992,2149,10254,17668,1882,4497,15138,13663
11/1/1992,1667,11187,16723,1831,4687,14323,13064
12/1/1992,1583,18395,17491,2511,5287,14994,13488
1/1/1993,2022,7502,16201,1614,4104,13975,12527
2/1/1993,2199,7524,15625,1529,3908,13460,12060
3/1/1993,2526,8766,17414,1678,4369,15017,13163
4/1/1993,2564,9867,17841,1713,4372,15351,13377
5/1/1993,2309,10063,18712,1796,4535,16070,14089
6/1/1993,2393,9635,18571,1792,4568,15993,13999
7/1/1993,2485,9794,19092,1950,4682,16469,14447
8/1/1993,2287,10628,19329,1777,4733,16699,14121
9/1/1993,2167,10013,18108,1707,4621,15622,13376
10/1/1993,2339,10346,18745,1757,4775,16150,13961
11/1/1993,2253,11760,17463,1782,5158,15051,13520
12/1/1993,2060,18851,18366,2443,5631,15862,13736
1/1/1994,2199,7280,16073,1548,4018,13914,12714
2/1/1994,2432,7902,16509,1505,4140,14289,12293
3/1/1994,2669,9921,18757,1714,4827,16247,13647
4/1/1994,2782,9869,18774,1757,4700,16234,13645
5/1/1994,2638,10009,19400,1830,4867,16765,14351
6/1/1994,2769,9893,19437,1857,4958,16805,14720
7/1/1994,2774,9735,20157,1981,4980,17514,15138
8/1/1994,3119,11157,19943,1858,5356,17305,15596
9/1/1994,2887,10217,18826,1823,5203,16346,14722
10/1/1994,3136,10730,19314,1806,5328,16780,14856
11/1/1994,2564,12354,18248,1845,5734,15853,14536
12/1/1994,2470,20016,19562,2577,6305,16973,15004
1/1/1995,2709,7518,17340,1555,4649,15133,13871
2/1/1995,2833,7961,16982,1501,4410,14794,13212
3/1/1995,3296,9815,19369,1725,5084,16852,14757
4/1/1995,2998,10168,19404,1699,4818,16810,14630
5/1/1995,3180,10620,20209,1807,5195,17513,15945
6/1/1995,3303,10301,20235,1863,5196,17477,16207
7/1/1995,3492,9784,20502,1886,5190,17859,16057
8/1/1995,3445,11264,20878,1861,5506,18150,16217
9/1/1995,3223,10710,19601,1845,5418,16929,15194
10/1/1995,3074,10439,19768,1788,5505,17035,15157
11/1/1995,2931,12751,18785,1879,6090,16239,14681
12/1/1995,2558,20002,19939,2598,6409,17259,15185
1/1/1996,2871,7684,17647,1679,4788,15338,14473
